Abbey 9.29.21,Myers FFRR 9.29.21,FFRR,Chow,9.29.21,,,,,,,
,TSE PhenoMaster V7.7.9 (2021-5214),,,,,,,,,,
Box,Animal No.,Weight [g],Text1,Text2,Text3,,,,,,
1,176,29.9,M,G+FFRR, ,,,,,,
2,177,23.9,M,++FFR, ,,,,,,
3,178,33.5,M,G+FFRR, ,,,,,,
4,179,30.7,M,G+FFRR, ,,,,,,
5,180,19.5,F,++FFR, ,,,,,,
6,181,26.1,F,G+FFRR, ,,,,,,
7,401,29.4,M,G+FFR, ,,,,,,
8,402,29.2,M,G+FFR, ,,,,,,
9,403,30.3,M,G+FFR, ,,,,,,
10,404,20.7,M,++FFR, ,,,,,,
11,405,23.9,M,G+FFR br, ,,,,,,
12,697,22.9,M,++FFR, ,,,,,,
13,698,24.1,M,++FFR, ,,,,,,
14,699,27.7,M,G+FFRR, ,,,,,,
15,700,20.1,M,++FFR, ,,,,,,
16,701,26.6,F,G+FFRR, ,,,,,,
17,702,18.5,F,G+FFRR, ,,,,,,
18,705,17.5,F,++FFR, ,,,,,,
19,706,15.8,F,++FFR, ,,,,,,
,,,,,,,,,,,
Date Time,Animal No.,Box,VO2(3),VCO2(3),RER,H(3),XT+YT,XA,YA,Drink,Feed1
,,,[ml/h],[ml/h],,[kcal/h],[Cnt],[Cnt],[Cnt],[ml],[g]
9/29/2021 14:19,176,1,62,54,0.882,0.302,5188,2240,1944,0.02,0.09
9/29/2021 14:34,176,1,65,58,0.903,0.32,5061,1913,2168,0.03,0.14
9/29/2021 14:49,176,1,64,62,0.96,0.322,5240,1981,2311,0.05,0.19
9/29/2021 15:04,176,1,53,51,0.97,0.266,4576,1396,2353,0.06,0.3
9/29/2021 15:19,176,1,53,52,0.988,0.266,3794,1360,1549,0.15,0.45
9/29/2021 15:34,176,1,58,57,0.977,0.292,4006,1212,1933,0.25,0.49
9/29/2021 15:49,176,1,52,52,1.007,0.262,2598,810,1263,0.27,0.52
9/29/2021 16:04,176,1,46,43,0.94,0.228,664,91,287,0.27,0.55
9/29/2021 16:19,176,1,45,43,0.939,0.225,35,3,5,0.27,0.55
9/29/2021 16:34,176,1,39,34,0.891,0.19,84,4,6,0.27,0.55
9/29/2021 16:49,176,1,51,47,0.917,0.254,2761,799,1535,0.33,0.6
9/29/2021 17:04,176,1,57,56,0.977,0.288,3872,1208,1878,0.53,0.83
9/29/2021 17:19,176,1,55,54,0.978,0.278,3295,685,1982,0.73,1.01
9/29/2021 17:34,176,1,57,56,0.982,0.287,1445,196,778,0.83,1.02
9/29/2021 17:49,176,1,45,44,0.978,0.224,77,3,34,0.86,1.02
9/29/2021 18:04,176,1,36,35,0.956,0.18,48,0,15,0.86,1.02
9/29/2021 18:19,176,1,47,45,0.961,0.233,4947,1538,2591,0.87,1.12
9/29/2021 18:34,176,1,58,56,0.973,0.29,5486,1813,2673,1.07,1.42
9/29/2021 18:49,176,1,59,58,0.994,0.296,3338,887,1662,1.17,1.53
9/29/2021 19:04,176,1,57,57,0.998,0.288,2699,625,1426,1.39,1.66
9/29/2021 19:19,176,1,57,56,0.978,0.286,5179,1818,2445,1.49,1.89
9/29/2021 19:34,176,1,60,61,1.014,0.303,5083,2340,1700,1.76,1.92
9/29/2021 19:49,176,1,59,59,1.002,0.297,3864,1224,1752,1.93,2.03
9/29/2021 20:04,176,1,58,57,0.989,0.292,3759,1115,1805,2.02,2.1
9/29/2021 20:19,176,1,58,60,1.028,0.295,852,231,316,2.17,2.11
9/29/2021 20:34,176,1,61,60,0.972,0.308,1600,579,601,2.29,2.12
9/29/2021 20:49,176,1,37,38,1.029,0.189,628,125,304,2.29,2.12
9/29/2021 21:04,176,1,51,53,1.048,0.259,3046,552,1639,2.43,2.38
9/29/2021 21:19,176,1,55,57,1.043,0.278,4272,1786,1565,2.74,2.71
9/29/2021 21:34,176,1,57,58,1.022,0.287,2161,663,891,2.92,2.82
9/29/2021 21:49,176,1,50,51,1.038,0.252,352,85,107,2.99,2.82
9/29/2021 22:04,176,1,38,39,1.022,0.191,84,12,29,2.99,2.82
9/29/2021 22:19,176,1,35,37,1.053,0.177,69,3,32,2.99,2.82
9/29/2021 22:34,176,1,42,44,1.049,0.216,1036,144,500,2.99,2.82
9/29/2021 22:49,176,1,52,54,1.045,0.264,2677,612,1493,3.25,3.31
9/29/2021 23:04,176,1,56,59,1.054,0.286,3383,938,1609,3.58,3.38
9/29/2021 23:19,176,1,57,59,1.025,0.291,3680,928,1977,3.81,3.5
9/29/2021 23:34,176,1,58,60,1.026,0.297,2310,308,1344,3.91,3.96
9/29/2021 23:49,176,1,66,66,1.001,0.332,3697,1092,1776,4.34,4.24
9/30/2021 0:04,176,1,56,58,1.03,0.285,5011,1723,2191,4.46,4.41
9/30/2021 0:19,176,1,57,59,1.041,0.291,3911,1413,1621,4.55,4.42
9/30/2021 0:34,176,1,56,58,1.025,0.286,3476,1362,1276,4.67,4.48
9/30/2021 0:49,176,1,55,57,1.029,0.279,1580,536,511,4.83,4.48
9/30/2021 1:04,176,1,42,41,0.979,0.212,213,3,92,4.84,4.48
9/30/2021 1:19,176,1,37,36,0.989,0.185,776,312,269,4.84,4.48
9/30/2021 1:34,176,1,51,54,1.058,0.262,2134,814,838,4.86,4.48
9/30/2021 1:49,176,1,38,37,0.956,0.191,7,0,1,4.86,4.48
9/30/2021 2:04,176,1,36,38,1.061,0.184,28,0,3,4.86,4.48
9/30/2021 2:19,176,1,35,34,0.963,0.176,4,0,2,4.86,4.48
9/30/2021 2:34,176,1,38,40,1.033,0.195,12,0,4,4.86,4.48
9/30/2021 2:49,176,1,43,42,0.985,0.215,382,67,125,4.86,4.48
9/30/2021 3:04,176,1,35,34,0.956,0.177,10,0,6,4.86,4.48
9/30/2021 3:19,176,1,33,31,0.956,0.164,320,1,123,4.86,4.49
9/30/2021 3:34,176,1,50,49,0.995,0.25,1579,469,591,5.1,4.61
9/30/2021 3:49,176,1,51,51,1.004,0.256,2351,202,1820,5.37,4.82
9/30/2021 4:04,176,1,40,40,0.999,0.2,147,1,68,5.42,4.82
9/30/2021 4:19,176,1,37,37,1.016,0.186,25,0,12,5.43,4.82
9/30/2021 4:34,176,1,33,34,1.016,0.168,20,0,6,5.43,4.82
9/30/2021 4:49,176,1,35,34,0.977,0.174,286,0,181,5.43,4.82
9/30/2021 5:04,176,1,37,37,0.996,0.189,1745,1,1266,5.43,4.98
9/30/2021 5:19,176,1,46,46,1.015,0.232,3131,636,1738,5.77,5.22
9/30/2021 5:34,176,1,46,48,1.035,0.234,1035,105,693,5.78,5.22
9/30/2021 5:49,176,1,36,36,1.004,0.181,27,2,1,5.78,5.22
9/30/2021 6:04,176,1,46,47,1.032,0.232,1314,254,689,5.84,5.37
9/30/2021 6:19,176,1,47,49,1.04,0.24,2570,818,974,6.08,5.54
9/30/2021 6:34,176,1,53,55,1.021,0.271,2641,704,1420,6.32,6.01
9/30/2021 6:49,176,1,59,60,1.019,0.3,2049,741,797,6.53,6.13
9/30/2021 7:04,176,1,51,51,0.999,0.257,2188,852,781,6.58,6.38
9/30/2021 7:19,176,1,51,51,1.009,0.256,2522,800,1057,6.75,6.38
9/30/2021 7:34,176,1,51,50,0.985,0.258,3120,935,1410,6.81,6.38
9/30/2021 7:49,176,1,53,52,0.983,0.264,2926,1132,1042,6.85,6.38
9/30/2021 8:04,176,1,45,44,0.972,0.227,2415,1317,456,6.85,6.63
9/30/2021 8:19,176,1,42,40,0.968,0.208,187,3,0,6.85,6.63
9/30/2021 8:34,176,1,30,29,0.964,0.151,103,0,3,6.85,6.63
9/30/2021 8:49,176,1,30,30,1.014,0.151,93,0,1,6.85,6.63
9/30/2021 9:04,176,1,32,33,1.039,0.161,151,5,7,6.85,6.63
9/30/2021 9:19,176,1,40,41,1.024,0.203,2139,1235,408,6.85,6.63
9/30/2021 9:34,176,1,48,48,1.012,0.242,3361,1491,1174,7.04,6.97
9/30/2021 9:49,176,1,46,47,1.003,0.235,1817,808,564,7.16,7.27
9/30/2021 10:04,176,1,43,43,0.989,0.219,252,143,42,7.35,7.27
9/30/2021 10:19,176,1,38,37,0.975,0.19,550,411,11,7.35,7.27
9/30/2021 10:34,176,1,38,38,1.014,0.191,6,0,0,7.35,7.27
9/30/2021 10:49,176,1,33,33,1.008,0.165,0,0,0,7.35,7.27
9/30/2021 11:04,176,1,34,32,0.956,0.168,2,0,1,7.35,7.27
9/30/2021 11:19,176,1,32,32,0.995,0.162,80,58,2,7.35,7.27
9/30/2021 11:34,176,1,34,33,0.977,0.171,5,3,0,7.35,7.27
9/30/2021 11:49,176,1,42,41,0.979,0.212,1343,975,54,7.35,7.27
9/30/2021 12:04,176,1,41,40,0.986,0.204,1893,575,981,7.44,7.27
9/30/2021 12:19,176,1,50,50,0.995,0.251,1244,509,447,7.56,7.55
9/30/2021 12:34,176,1,44,44,0.989,0.222,0,0,0,7.57,7.55
9/30/2021 12:49,176,1,32,31,0.956,0.162,0,0,0,7.57,7.55
9/30/2021 13:04,176,1,30,30,0.989,0.153,0,0,0,7.57,7.55
9/30/2021 13:19,176,1,31,31,1.003,0.156,2,0,1,7.57,7.55
9/30/2021 13:34,176,1,30,29,0.956,0.151,0,0,0,7.57,7.55
9/30/2021 13:49,176,1,37,36,0.982,0.184,3,0,2,7.57,7.55
9/30/2021 14:04,176,1,39,39,1.007,0.195,113,61,7,7.57,7.55
9/30/2021 14:19,176,1,39,40,1.02,0.199,56,0,15,7.57,7.57
9/30/2021 14:34,176,1,32,30,0.94,0.159,0,0,0,7.57,7.57
9/30/2021 14:49,176,1,29,27,0.922,0.144,1,0,1,7.57,7.57
9/30/2021 15:04,176,1,34,31,0.897,0.169,15,0,5,7.57,7.57
9/30/2021 15:19,176,1,36,34,0.935,0.179,68,11,25,7.57,7.71
9/30/2021 15:34,176,1,43,42,0.99,0.214,196,0,18,7.65,7.71
9/30/2021 15:49,176,1,34,33,0.978,0.17,88,0,0,7.66,7.71
9/30/2021 16:04,176,1,33,31,0.941,0.163,20,0,5,7.66,7.71
9/30/2021 16:19,176,1,41,41,1.003,0.208,572,349,51,7.67,8.04
9/30/2021 16:34,176,1,51,51,0.999,0.257,608,162,174,8.01,8.62
9/30/2021 16:49,176,1,54,54,0.992,0.273,664,186,249,8.08,8.79
9/30/2021 17:04,176,1,37,36,0.982,0.186,43,0,18,8.08,8.79
9/30/2021 17:19,176,1,35,34,0.977,0.175,28,0,13,8.08,8.84
9/30/2021 17:34,176,1,37,36,0.962,0.186,173,0,127,8.08,8.85
9/30/2021 17:49,176,1,41,42,1.022,0.207,690,257,206,8.09,8.85
9/30/2021 18:04,176,1,55,56,1.02,0.278,1446,675,380,8.14,8.85
9/30/2021 18:19,176,1,52,52,0.999,0.262,1396,529,445,8.43,9.01
9/30/2021 18:34,176,1,48,47,0.981,0.24,47,4,4,8.43,9.19
9/30/2021 18:49,176,1,36,37,1.018,0.184,175,16,56,8.43,9.19
9/30/2021 19:04,176,1,56,57,1.018,0.285,2531,1510,380,8.54,9.19
9/30/2021 19:19,176,1,61,60,0.988,0.306,1957,769,655,8.64,9.19
9/30/2021 19:34,176,1,62,61,0.996,0.311,3123,1579,806,8.92,9.5
9/30/2021 19:49,176,1,63,63,0.995,0.318,2607,1296,691,9.11,9.93
9/30/2021 20:04,176,1,58,59,1.015,0.296,1440,686,344,9.33,9.93
9/30/2021 20:19,176,1,61,60,0.988,0.307,992,464,199,9.47,10.02
9/30/2021 20:34,176,1,50,51,1.025,0.253,234,102,65,9.47,10.21
9/30/2021 20:49,176,1,40,41,1.022,0.204,661,239,118,9.57,10.21
9/30/2021 21:04,176,1,54,57,1.057,0.276,2088,1033,517,9.9,10.33
9/30/2021 21:19,176,1,54,57,1.05,0.277,2549,1378,581,10.02,10.51
9/30/2021 21:34,176,1,61,63,1.033,0.31,686,142,213,10.25,10.59
9/30/2021 21:49,176,1,53,57,1.062,0.272,1251,735,125,10.37,10.62
9/30/2021 22:04,176,1,57,56,0.987,0.285,804,239,203,10.44,10.62
9/30/2021 22:19,176,1,59,59,1.002,0.295,1076,459,196,10.71,10.72
9/30/2021 22:34,176,1,48,49,1.027,0.244,20,0,0,10.72,10.72
9/30/2021 22:49,176,1,38,38,0.994,0.194,14,4,1,10.83,10.72
9/30/2021 23:04,176,1,44,47,1.069,0.227,95,37,2,10.84,10.76
9/30/2021 23:19,176,1,43,43,0.99,0.217,92,7,8,10.91,10.94
9/30/2021 23:34,176,1,48,49,1.038,0.243,2630,2034,39,11.11,11.3
9/30/2021 23:49,176,1,54,58,1.068,0.279,1694,1151,132,11.26,11.62
10/1/2021 0:04,176,1,59,61,1.034,0.302,1507,861,189,11.45,11.62
10/1/2021 0:19,176,1,58,60,1.038,0.294,1155,215,652,11.57,11.62
10/1/2021 0:34,176,1,65,67,1.021,0.331,1439,770,262,11.79,11.7
10/1/2021 0:49,176,1,58,60,1.032,0.296,1552,1102,20,11.95,12
10/1/2021 1:04,176,1,56,58,1.041,0.285,706,450,27,12.09,12
10/1/2021 1:19,176,1,55,55,1.006,0.277,375,124,15,12.14,12.07
10/1/2021 1:34,176,1,45,46,1.01,0.229,8,1,0,12.18,12.07
10/1/2021 1:49,176,1,37,37,1.009,0.186,13,2,0,12.18,12.07
10/1/2021 2:04,176,1,38,38,1.009,0.191,196,119,0,12.19,12.1
10/1/2021 2:19,176,1,42,43,1.031,0.213,2697,2100,4,12.22,12.35
10/1/2021 2:34,176,1,51,54,1.053,0.262,1587,1140,11,12.45,12.35
10/1/2021 2:49,176,1,52,52,1.003,0.264,142,69,9,12.45,12.69
10/1/2021 3:04,176,1,37,36,0.976,0.187,2,0,0,12.45,12.69
10/1/2021 3:19,176,1,34,34,0.992,0.173,1,0,0,12.45,12.69
10/1/2021 3:34,176,1,31,32,1.011,0.158,6,0,0,12.45,12.69
10/1/2021 3:49,176,1,31,31,1.003,0.156,1,0,0,12.45,12.69
10/1/2021 4:04,176,1,29,29,0.98,0.148,0,0,0,12.45,12.69
10/1/2021 4:19,176,1,30,29,0.948,0.151,144,86,0,12.45,12.69
10/1/2021 4:34,176,1,34,31,0.893,0.169,86,0,0,12.45,12.69
10/1/2021 4:49,176,1,46,45,0.977,0.231,1357,1012,0,12.55,12.69
10/1/2021 5:04,176,1,50,50,0.999,0.252,991,701,0,12.97,12.85
10/1/2021 5:19,176,1,49,49,0.989,0.247,688,522,0,13.12,12.94
10/1/2021 5:34,176,1,50,49,0.98,0.254,8,0,0,13.15,12.94
10/1/2021 5:49,176,1,41,41,1.009,0.207,518,271,2,13.27,13.23
10/1/2021 6:04,176,1,52,53,1.007,0.264,1486,1084,0,13.46,13.51
10/1/2021 6:19,176,1,56,56,1.005,0.28,1297,916,33,13.58,13.76
10/1/2021 6:34,176,1,57,57,0.999,0.286,1116,661,90,13.74,14.06
10/1/2021 6:49,176,1,55,56,1.024,0.277,2066,1360,128,13.95,14.26
10/1/2021 7:04,176,1,51,52,1.023,0.26,715,455,44,13.95,14.26
10/1/2021 7:19,176,1,52,50,0.966,0.259,1372,925,120,13.95,14.7
10/1/2021 7:34,176,1,43,42,0.989,0.215,94,68,1,13.95,14.7
10/1/2021 7:49,176,1,33,32,0.963,0.165,0,0,0,13.95,14.7
10/1/2021 8:04,176,1,31,31,0.987,0.158,0,0,0,13.95,14.7
10/1/2021 8:19,176,1,35,35,0.99,0.177,0,0,0,13.95,14.7
10/1/2021 8:34,176,1,32,32,1.016,0.162,300,193,14,13.95,14.7
10/1/2021 8:49,176,1,47,49,1.035,0.24,2135,1527,114,13.98,14.7
10/1/2021 9:04,176,1,53,54,1.012,0.27,1230,792,98,14.12,14.79
10/1/2021 9:19,176,1,50,50,0.999,0.253,209,0,151,14.13,14.79
10/1/2021 9:34,176,1,34,34,0.999,0.171,0,0,0,14.13,14.79
10/1/2021 9:49,176,1,33,32,0.986,0.164,0,0,0,14.13,14.79
10/1/2021 10:04,176,1,31,30,0.964,0.157,0,0,0,14.13,14.79
10/1/2021 10:19,176,1,30,29,0.964,0.151,357,259,2,14.13,14.79
10/1/2021 10:34,176,1,42,44,1.055,0.215,1627,1197,35,14.4,14.79
10/1/2021 10:49,176,1,58,58,0.998,0.293,1608,1147,54,14.44,15.22
10/1/2021 11:04,176,1,46,47,1.015,0.235,242,161,17,14.52,15.93
10/1/2021 11:19,176,1,43,41,0.967,0.213,0,0,0,14.52,16.2
10/1/2021 11:34,176,1,30,31,1.011,0.153,343,268,0,14.52,16.2
10/1/2021 11:49,176,1,48,47,0.987,0.241,1273,916,0,14.6,16.2
10/1/2021 12:04,176,1,39,37,0.962,0.193,35,22,2,14.7,16.2
10/1/2021 12:19,176,1,33,31,0.956,0.163,0,0,0,14.7,16.2
10/1/2021 12:34,176,1,29,27,0.922,0.143,0,0,0,14.7,16.2
10/1/2021 12:49,176,1,27,25,0.903,0.135,0,0,0,14.7,16.2
10/1/2021 13:04,176,1,30,30,0.98,0.152,0,0,0,14.7,16.2
10/1/2021 13:19,176,1,32,29,0.933,0.157,0,0,0,14.7,16.2
10/1/2021 13:34,176,1,30,26,0.889,0.145,0,0,0,14.7,16.2
10/1/2021 13:49,176,1,34,33,0.97,0.171,0,0,0,14.7,16.2
10/1/2021 14:04,176,1,30,26,0.892,0.146,0,0,0,14.7,16.2
10/1/2021 14:19,176,1,30,27,0.884,0.149,0,0,0,14.7,16.2
10/1/2021 14:34,176,1,34,30,0.876,0.167,0,0,0,14.7,16.2
10/1/2021 14:49,176,1,30,27,0.897,0.146,123,81,2,14.7,16.2
10/1/2021 15:04,176,1,44,43,0.967,0.223,772,526,26,14.7,16.2
10/1/2021 15:19,176,1,46,42,0.923,0.227,0,0,0,14.7,16.2
10/1/2021 15:34,176,1,33,29,0.895,0.162,0,0,0,14.7,16.2
10/1/2021 15:49,176,1,29,25,0.864,0.14,0,0,0,14.7,16.2
10/1/2021 16:04,176,1,28,25,0.911,0.138,0,0,0,14.7,16.2
10/1/2021 16:19,176,1,33,31,0.934,0.165,0,0,0,14.7,16.2
10/1/2021 16:34,176,1,35,32,0.915,0.175,121,81,7,14.7,16.2
10/1/2021 16:49,176,1,49,47,0.961,0.243,443,303,12,14.75,16.2
10/1/2021 17:04,176,1,41,38,0.926,0.203,96,66,4,14.85,16.2
10/1/2021 17:19,176,1,35,32,0.928,0.174,0,0,0,14.85,16.2
10/1/2021 17:34,176,1,30,28,0.932,0.15,0,0,0,14.85,16.2
10/1/2021 17:49,176,1,37,36,0.956,0.187,0,0,0,14.85,16.2
10/1/2021 18:04,176,1,47,47,1.003,0.239,141,102,6,14.85,16.2
10/1/2021 18:19,176,1,47,48,1.024,0.238,1749,1253,49,15.25,16.2
10/1/2021 18:34,176,1,57,57,1.003,0.286,1350,902,101,15.45,16.2
10/1/2021 18:49,176,1,54,56,1.029,0.274,1644,1209,24,15.61,16.34
10/1/2021 19:04,176,1,59,58,0.997,0.295,740,473,40,15.77,16.43
10/1/2021 19:19,176,1,56,57,1.023,0.285,368,203,35,15.87,16.43
10/1/2021 19:34,176,1,46,47,1.015,0.234,54,2,10,16.01,16.43
10/1/2021 19:49,176,1,45,46,1.043,0.227,1218,671,207,16.05,16.43
10/1/2021 20:04,176,1,55,56,1.029,0.277,1197,754,92,16.21,16.52
10/1/2021 20:19,176,1,61,62,1.008,0.309,509,256,79,16.28,17.05
10/1/2021 20:34,176,1,37,36,0.982,0.185,35,3,2,16.29,17.05
10/1/2021 20:49,176,1,42,44,1.052,0.213,529,232,86,16.33,17.05
10/1/2021 21:04,176,1,53,54,1.031,0.267,1708,971,274,16.63,17.05
10/1/2021 21:19,176,1,60,61,1.022,0.303,1284,614,287,16.84,17.19
10/1/2021 21:34,176,1,50,51,1.023,0.253,63,2,17,16.91,17.19
10/1/2021 21:49,176,1,37,36,0.976,0.186,29,0,6,16.91,17.19
10/1/2021 22:04,176,1,33,35,1.047,0.168,58,0,10,16.91,17.19
10/1/2021 22:19,176,1,43,46,1.049,0.221,1018,319,323,16.97,17.21
10/1/2021 22:34,176,1,51,52,1.03,0.259,1277,614,301,17.49,17.74
10/1/2021 22:49,176,1,56,59,1.047,0.286,1447,615,405,17.7,18.12
10/1/2021 23:04,176,1,56,57,1.027,0.283,1617,770,431,18,18.62
10/1/2021 23:19,176,1,58,59,1.019,0.296,1962,970,478,18.18,19.65
10/1/2021 23:34,176,1,59,60,1.015,0.298,2667,1230,748,18.34,19.97
10/1/2021 23:49,176,1,54,55,1.014,0.274,982,422,139,18.53,19.97
10/2/2021 0:04,176,1,57,59,1.03,0.29,1085,686,79,18.71,20.92
10/2/2021 0:19,176,1,54,56,1.034,0.276,17,0,3,18.72,20.92
10/2/2021 0:34,176,1,31,31,0.995,0.155,15,0,2,18.72,20.92
10/2/2021 0:49,176,1,38,40,1.046,0.194,0,0,0,18.72,20.92
10/2/2021 1:04,176,1,31,32,1.035,0.158,2,0,1,18.72,20.92
10/2/2021 1:19,176,1,30,32,1.059,0.156,474,297,27,18.76,20.92
10/2/2021 1:34,176,1,47,49,1.048,0.24,2866,2039,196,19.03,20.92
10/2/2021 1:49,176,1,47,49,1.048,0.239,1396,592,414,19.32,20.92
10/2/2021 2:04,176,1,55,55,1,0.279,1202,701,159,19.38,21.02
10/2/2021 2:19,176,1,55,56,1.022,0.279,401,303,6,19.43,21.04
10/2/2021 2:34,176,1,38,38,0.994,0.191,0,0,0,19.43,21.04
10/2/2021 2:49,176,1,34,35,1.021,0.173,0,0,0,19.43,21.04
10/2/2021 3:04,176,1,32,33,1.035,0.162,0,0,0,19.43,21.04
10/2/2021 3:19,176,1,39,41,1.03,0.2,252,162,1,19.45,21.04
10/2/2021 3:34,176,1,51,53,1.033,0.259,134,106,0,19.6,21.04
10/2/2021 3:49,176,1,38,38,0.989,0.193,21,8,0,19.6,21.04
10/2/2021 4:04,176,1,32,30,0.964,0.158,0,0,0,19.6,21.04
10/2/2021 4:19,176,1,29,28,0.982,0.146,1,0,0,19.61,21.04
10/2/2021 4:34,176,1,42,43,1.028,0.212,308,239,3,19.97,21.48
10/2/2021 4:49,176,1,45,48,1.059,0.231,0,0,0,19.98,21.48
10/2/2021 5:04,176,1,31,30,0.964,0.153,1,0,0,19.98,21.48
10/2/2021 5:19,176,1,38,39,1.02,0.193,2514,1905,53,20.2,21.48
10/2/2021 5:34,176,1,48,50,1.032,0.245,1009,435,224,20.33,21.48
10/2/2021 5:49,176,1,57,59,1.025,0.29,1738,876,318,20.59,22.44
10/2/2021 6:04,176,1,60,59,0.985,0.301,3029,1688,594,20.71,24.06
10/2/2021 6:19,176,1,57,56,0.978,0.286,1688,557,657,20.72,24.06
10/2/2021 6:34,176,1,61,60,0.98,0.309,2045,951,439,21,24.06
10/2/2021 6:49,176,1,57,55,0.956,0.286,685,328,25,21.14,28.51
10/2/2021 7:04,176,1,52,50,0.956,0.26,94,50,2,21.24,28.79
10/2/2021 7:19,176,1,54,53,0.969,0.273,0,0,0,21.24,28.88
10/2/2021 7:34,176,1,38,35,0.93,0.188,0,0,0,21.24,28.88
10/2/2021 7:49,176,1,33,32,0.971,0.167,0,0,0,21.24,28.88
10/2/2021 8:04,176,1,33,32,0.956,0.166,0,0,0,21.24,28.88
10/2/2021 8:19,176,1,33,31,0.935,0.166,0,0,0,21.24,28.88
10/2/2021 8:34,176,1,30,30,1.005,0.151,0,0,0,21.24,28.88
10/2/2021 8:49,176,1,34,32,0.949,0.171,0,0,0,21.24,28.88
10/2/2021 9:04,176,1,43,41,0.962,0.215,876,674,1,21.24,29.02
10/2/2021 9:19,176,1,49,48,0.966,0.248,1422,991,54,21.44,29.02
10/2/2021 9:34,176,1,58,56,0.964,0.288,716,530,2,21.56,29.02
10/2/2021 9:49,176,1,46,44,0.961,0.228,36,24,0,21.56,29.02
10/2/2021 10:04,176,1,38,35,0.924,0.189,0,0,0,21.56,29.02
10/2/2021 10:19,176,1,37,32,0.882,0.18,0,0,0,21.56,29.02
10/2/2021 10:34,176,1,31,30,0.964,0.155,173,120,0,21.56,29.02
10/2/2021 10:49,176,1,41,39,0.938,0.206,226,141,16,21.58,29.02
10/2/2021 11:04,176,1,30,28,0.932,0.151,0,0,0,21.58,29.02
10/2/2021 11:19,176,1,31,29,0.924,0.154,0,0,0,21.58,29.02
10/2/2021 11:34,176,1,32,30,0.917,0.161,0,0,0,21.58,29.02
10/2/2021 11:49,176,1,33,29,0.88,0.161,0,0,0,21.58,29.02
10/2/2021 12:04,176,1,28,24,0.876,0.136,0,0,0,21.58,29.02
10/2/2021 12:19,176,1,31,28,0.908,0.154,64,55,0,21.62,29.02
10/2/2021 12:34,176,1,35,34,0.949,0.176,35,3,4,21.62,29.02
10/2/2021 12:49,176,1,30,29,0.948,0.151,0,0,0,21.62,29.02
10/2/2021 13:04,176,1,29,27,0.93,0.146,0,0,0,21.62,29.02
10/2/2021 13:19,176,1,33,29,0.876,0.164,0,0,0,21.62,29.02
10/2/2021 13:34,176,1,31,29,0.925,0.155,0,0,0,21.62,29.02
10/2/2021 13:49,176,1,27,25,0.929,0.133,0,0,0,21.62,29.02
10/2/2021 14:04,176,1,29,26,0.88,0.143,0,0,0,21.62,29.02
10/2/2021 14:19,176,1,28,24,0.876,0.136,0,0,0,21.62,29.02
10/2/2021 14:34,176,1,29,26,0.914,0.142,0,0,0,21.62,29.02
10/2/2021 14:49,176,1,35,33,0.956,0.173,0,0,0,21.62,29.02
10/2/2021 15:04,176,1,43,40,0.922,0.213,152,112,4,21.7,29.02
10/2/2021 15:19,176,1,42,40,0.962,0.209,642,476,24,21.98,29.02
10/2/2021 15:34,176,1,35,31,0.9,0.173,0,0,0,21.98,29.02
10/2/2021 15:49,176,1,32,28,0.88,0.155,0,0,0,21.98,29.02
10/2/2021 16:04,176,1,30,27,0.876,0.149,0,0,0,21.98,29.02
10/2/2021 16:19,176,1,35,31,0.886,0.173,0,0,0,21.98,29.02
10/2/2021 16:34,176,1,33,28,0.85,0.162,0,0,0,21.98,29.02
10/2/2021 16:49,176,1,45,42,0.922,0.224,695,517,20,22.14,29.02
10/2/2021 17:04,176,1,51,49,0.946,0.256,615,447,8,22.35,29.05
10/2/2021 17:19,176,1,46,43,0.929,0.229,1,0,1,22.35,29.05
10/2/2021 17:34,176,1,33,31,0.934,0.163,0,0,0,22.35,29.05
10/2/2021 17:49,176,1,36,34,0.963,0.179,47,37,0,22.4,29.05
10/2/2021 18:04,176,1,46,46,0.988,0.234,459,338,4,22.48,29.23
10/2/2021 18:19,176,1,51,50,0.974,0.256,1891,1367,77,22.75,29.57
10/2/2021 18:34,176,1,57,56,0.994,0.285,1981,1094,314,22.89,30.11
10/2/2021 18:49,176,1,54,54,1,0.272,1741,826,378,23,30.11
10/2/2021 19:04,176,1,58,58,0.989,0.294,1823,1065,185,23.2,30.11
10/2/2021 19:19,176,1,57,57,1.008,0.286,2083,1332,141,23.33,30.11
10/2/2021 19:34,176,1,54,54,0.997,0.271,525,315,1,23.51,30.11
10/2/2021 19:49,176,1,55,57,1.022,0.281,649,344,27,23.61,30.11
10/2/2021 20:04,176,1,52,50,0.969,0.259,476,353,0,23.77,38.18
10/2/2021 20:19,176,1,56,54,0.973,0.28,6,0,1,23.77,38.21
10/2/2021 20:34,176,1,45,45,1.006,0.226,0,0,0,23.77,38.21
10/2/2021 20:49,176,1,35,36,1.032,0.179,0,0,0,23.77,38.21
10/2/2021 21:04,176,1,51,52,1.028,0.257,90,70,1,24,38.21
10/2/2021 21:19,176,1,39,39,0.997,0.198,1,0,1,24.1,38.21
10/2/2021 21:34,176,1,33,33,1.008,0.165,0,0,0,24.22,38.21
10/2/2021 21:49,176,1,31,32,1.035,0.159,46,39,0,24.25,38.21
10/2/2021 22:04,176,1,36,36,1.011,0.181,2,1,0,24.36,38.21
